Name,Clade,lineage(SUPERKINGDOM),lineage(KINGDOM),lineage(PHYLUM),lineage(CLASS),lineage(ORDER),lineage(FAMILY),lineage(GENUS),lineage(SPECIES)
AcTPS4,1,,,,,,,,
AcTPS5,2,,,,,,,,
AcTPS7,3,,,,,,,,
AcTPS9,1,,,,,,,,
ArmGa1,4,,,,,,,,
BvCS,2,,,,,,,,
Cop1,2,,,,,,,,
Cop2,2,,,,,,,,
Cop3,2,,,,,,,,
Cop4,1,,,,,,,,
Cop6,3,,,,,,,,
tr|A0A5M3MFS2|A0A5M3MFS2_CONPW__Copu1,1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MFC0|A0A5M3MFC0_CONPW__Copu2,1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MYJ1|A0A5M3MYJ1_CONPW__Copu3,1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu4,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MX24|A0A5M3MX24_CONPW__Copu5,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MCC4|A0A5M3MCC4_CONPW__Copu6,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MWF6|A0A5M3MWF6_CONPW__Copu7,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu8,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MXY8|A0A5M3MXY8_CONPW__Copu9,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu10,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MW72|A0A5M3MW72_CONPW__Copu11,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MEQ1|A0A5M3MEQ1_CONPW__Copu12,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MHQ9|A0A5M3MHQ9_CONPW_Copu13,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MKY2|A0A5M3MKY2_CONPW_Copu14,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MMD6|A0A5M3MMD6_CONPW_Copu15,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3N0E8|A0A5M3N0E8_CONPW_Copu16,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
